統計年份,月份,詐騙管道,詐騙手法
111年,1月,接獲歹徒電話,解除分期付款
111年,1月,接獲歹徒電話,解除分期付款
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,假交友(徵婚詐財)
111年,1月,網路詐騙,其他
111年,1月,網路詐騙,假交友(徵婚詐財)
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假網拍
111年,1月,接獲歹徒電話,猜猜我是誰
111年,1月,網路詐騙,其他
111年,1月,接獲歹徒電話,解除分期付款
111年,1月,網路詐騙,色情應召詐財
111年,1月,接獲歹徒電話,解除分期付款
111年,1月,直接與人接觸,其他
111年,1月,網路詐騙,假交友(徵婚詐財)
111年,1月,網路詐騙,色情應召詐財
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假交友(徵婚詐財)
111年,1月,網路詐騙,假預付型消費詐財
111年,1月,接獲歹徒電話,假投資
111年,1月,接獲歹徒電話,猜猜我是誰
111年,1月,網路詐騙,其他
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假交友(投資詐財)
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,騙取金融帳戶(卡片)
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假交友(徵婚詐財)
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,色情應召詐財
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,假網拍
111年,1月,其他,其他
111年,1月,接獲歹徒電話,猜猜我是誰
111年,1月,接獲歹徒電話,猜猜我是誰
111年,1月,網路詐騙,假借銀行貸款詐財
111年,1月,接獲歹徒電話,猜猜我是誰
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,騙取金融帳戶(卡片)
111年,1月,網路詐騙,假交友(投資詐財)
111年,1月,接獲歹徒電話,假冒機構(公務員)詐財
111年,1月,網路詐騙,假網拍
111年,1月,接獲歹徒電話,解除分期付款
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,騙取金融帳戶(卡片)
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,騙取金融帳戶(卡片)
111年,1月,直接與人接觸,假借銀行貸款詐財
111年,1月,網路詐騙,假交友(徵婚詐財)
111年,1月,網路詐騙,色情應召詐財
111年,1月,接獲歹徒電話,猜猜我是誰
111年,1月,接獲歹徒電話,解除分期付款
111年,1月,網路詐騙,假交友(投資詐財)
111年,1月,網路詐騙,其他
111年,1月,網路詐騙,騙取金融帳戶(卡片)
111年,1月,其他,信用卡遭盜刷
111年,1月,網路詐騙,假交友(投資詐財)
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假投資
111年,1月,接獲歹徒電話,其他
111年,1月,接獲歹徒電話,解除分期付款
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,其他
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假交友(投資詐財)
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,假網拍
111年,1月,接獲歹徒電話,假投資
111年,1月,網路詐騙,假網拍
111年,1月,直接與人接觸,其他
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,假推銷
111年,1月,其他,假交友(投資詐財)
111年,1月,其他,假交友(投資詐財)
111年,1月,其他,騙取個人資料
111年,1月,網路詐騙,假網拍
111年,1月,網路詐騙,騙取金融帳戶(卡片)
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,假投資
111年,1月,網路詐騙,騙取金融帳戶(卡片)
111年,1月,接獲手機簡訊,假快遞
111年,1月,網路詐騙,假投資
111年,1月,接獲歹徒電話,其他
111年,1月,網路詐騙,假推銷
111年,1月,網路詐騙,假借銀行貸款詐財
111年,1月,網路詐騙,假交友(投資詐財)
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,其他
111年,2月,直接與人接觸,假投資
111年,2月,網路詐騙,假投資
111年,2月,網路詐騙,假交友(投資詐財)
111年,2月,接獲歹徒電話,假借銀行貸款詐財
111年,2月,網路詐騙,假網拍
111年,2月,直接與人接觸,假交友(投資詐財)
111年,2月,網路詐騙,假交友(投資詐財)
111年,2月,網路詐騙,假交友(徵婚詐財)
111年,2月,網路詐騙,其他
111年,2月,網路詐騙,假交友(徵婚詐財)
111年,2月,網路詐騙,騙取金融帳戶(卡片)
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,假投資
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,假網拍
111年,2月,其他,其他
111年,2月,接獲歹徒電話,猜猜我是誰
111年,2月,網路詐騙,六合彩
111年,2月,直接與人接觸,其他
111年,2月,網路詐騙,假交友(投資詐財)
111年,2月,網路詐騙,假投資
111年,2月,網路詐騙,假投資
111年,2月,直接與人接觸,其他
111年,2月,網路詐騙,假投資
111年,2月,網路詐騙,假交友(徵婚詐財)
111年,2月,網路詐騙,騙取金融帳戶(卡片)
111年,2月,網路詐騙,虛擬遊戲詐騙
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,假投資
111年,2月,直接與人接觸,其他
111年,2月,網路詐騙,假交友(投資詐財)
111年,2月,網路詐騙,假廣告
111年,2月,網路詐騙,虛擬遊戲詐騙
111年,2月,網路詐騙,色情應召詐財
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,其他
111年,2月,網路詐騙,假交友(徵婚詐財)
111年,2月,接獲歹徒電話,猜猜我是誰
111年,2月,網路詐騙,騙取金融帳戶(卡片)
111年,2月,接獲歹徒電話,猜猜我是誰
111年,2月,網路詐騙,假網拍
111年,2月,接獲手機簡訊,假投資
111年,2月,網路詐騙,假投資
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,騙取金融帳戶(卡片)
111年,2月,接獲歹徒電話,解除分期付款
111年,2月,網路詐騙,假網拍
111年,2月,接獲歹徒電話,解除分期付款
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,假借銀行貸款詐財
111年,2月,網路詐騙,解除分期付款
111年,2月,網路詐騙,假交友(徵婚詐財)
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,假投資
111年,2月,接獲歹徒電話,解除分期付款
111年,2月,網路詐騙,假借銀行貸款詐財
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,假網拍
111年,2月,網路詐騙,假交友(投資詐財)
111年,2月,網路詐騙,假借銀行貸款詐財
111年,2月,直接與人接觸,其他
111年,2月,網路詐騙,虛擬遊戲詐騙
111年,2月,接獲歹徒電話,解除分期付款
111年,2月,網路詐騙,假投資
111年,2月,網路詐騙,假交友(投資詐財)
111年,3月,網路詐騙,假求職
111年,3月,網路詐騙,假交友(投資詐財)
111年,3月,網路詐騙,假廣告
111年,3月,接獲電話語音,猜猜我是誰
111年,3月,網路詐騙,色情應召詐財
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,網路詐騙,其他
111年,3月,網路詐騙,假求職
111年,3月,網路詐騙,色情應召詐財
111年,3月,網路詐騙,色情應召詐財
111年,3月,網路詐騙,猜猜我是誰
111年,3月,接獲歹徒電話,猜猜我是誰
111年,3月,接獲歹徒電話,猜猜我是誰
111年,3月,網路詐騙,色情應召詐財
111年,3月,網路詐騙,假投資
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,網路詐騙,虛擬遊戲詐騙
111年,3月,網路詐騙,假網拍
111年,3月,接獲手機簡訊,假借銀行貸款詐財
111年,3月,網路詐騙,假交友(徵婚詐財)
111年,3月,網路詐騙,其他
111年,3月,網路詐騙,猜猜我是誰
111年,3月,網路詐騙,假網拍
111年,3月,網路詐騙,其他
111年,3月,接獲手機簡訊,假借銀行貸款詐財
111年,3月,網路詐騙,騙取金融帳戶(卡片)
111年,3月,網路詐騙,騙取金融帳戶(卡片)
111年,3月,網路詐騙,色情應召詐財
111年,3月,網路詐騙,假交友(投資詐財)
111年,3月,直接與人接觸,假借親友出事勒索(詐財)
111年,3月,接獲手機簡訊,假投資
111年,3月,接獲歹徒電話,猜猜我是誰
111年,3月,網路詐騙,假求職
111年,3月,網路詐騙,其他
111年,3月,網路詐騙,虛擬遊戲詐騙
111年,3月,直接與人接觸,假投資
111年,3月,直接與人接觸,騙取金融帳戶(卡片)
111年,3月,網路詐騙,假交友(投資詐財)
111年,3月,網路詐騙,色情應召詐財
111年,3月,直接與人接觸,假推銷
111年,3月,網路詐騙,假求職
111年,3月,網路詐騙,假網拍
111年,3月,接獲歹徒電話,假投資
111年,3月,網路詐騙,假求職
111年,3月,網路詐騙,假求職
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,直接與人接觸,假推銷
111年,3月,網路詐騙,假投資
111年,3月,網路詐騙,假交友(徵婚詐財)
111年,3月,網路詐騙,假借銀行貸款詐財
111年,3月,網路詐騙,假網拍
111年,3月,接獲手機簡訊,假借銀行貸款詐財
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,網路詐騙,假網拍
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,網路詐騙,假交友(徵婚詐財)
111年,3月,網路詐騙,騙取金融帳戶(卡片)
111年,3月,網路詐騙,假投資
111年,3月,網路詐騙,假投資
111年,3月,網路詐騙,假交友(投資詐財)
111年,3月,網路詐騙,虛擬遊戲詐騙
111年,3月,網路詐騙,假投資
111年,3月,網路詐騙,解除分期付款
111年,3月,網路詐騙,假網拍
111年,3月,直接與人接觸,其他
111年,3月,直接與人接觸,其他
111年,3月,網路詐騙,假投資
111年,3月,網路詐騙,假網拍
111年,3月,接獲手機簡訊,假網拍
111年,3月,網路詐騙,假交友(投資詐財)
111年,3月,其他,騙取金融帳戶(卡片)
111年,3月,直接與人接觸,虛擬遊戲詐騙
111年,3月,其他,其他
111年,3月,網路詐騙,假交友(投資詐財)
111年,3月,接獲歹徒電話,假冒機構(公務員)詐財
111年,3月,網路詐騙,假交友(投資詐財)
111年,3月,網路詐騙,假預付型消費詐財
111年,3月,網路詐騙,騙取個人資料
111年,3月,網路詐騙,假求職
111年,3月,網路詐騙,騙取金融帳戶(卡片)
111年,3月,接獲歹徒電話,猜猜我是誰
111年,3月,網路詐騙,假投資
111年,3月,網路詐騙,假網拍
111年,3月,網路詐騙,假借銀行貸款詐財
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,直接與人接觸,其他
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,網路詐騙,色情應召詐財
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,接獲歹徒電話,假冒機構(公務員)詐財
111年,3月,網路詐騙,假投資
111年,3月,網路詐騙,假投資
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,接獲歹徒電話,猜猜我是誰
111年,3月,網路詐騙,假求職
111年,3月,接獲歹徒電話,猜猜我是誰
111年,3月,網路詐騙,假交友(投資詐財)
111年,3月,接獲歹徒電話,猜猜我是誰
111年,3月,其他,其他
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,接獲歹徒電話,其他
111年,3月,直接與人接觸,其他
111年,3月,直接與人接觸,其他
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,接獲手機簡訊,假投資
111年,3月,網路詐騙,假借銀行貸款詐財
111年,3月,接獲歹徒電話,假交友(徵婚詐財)
111年,3月,網路詐騙,假交友(投資詐財)
111年,3月,網路詐騙,假網拍
111年,3月,網路詐騙,騙取金融帳戶(卡片)
111年,3月,網路詐騙,假網拍
111年,3月,接獲手機簡訊,騙取金融帳戶(卡片)
111年,3月,網路詐騙,假交友(徵婚詐財)
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,接獲歹徒電話,解除分期付款
111年,3月,網路詐騙,假投資
111年,3月,網路詐騙,色情應召詐財
111年,3月,網路詐騙,騙取金融帳戶(卡片)
111年,3月,網路詐騙,其他
111年,3月,網路詐騙,其他
111年,3月,網路詐騙,假網拍
111年,3月,直接與人接觸,假借親友出事勒索(詐財)
111年,3月,網路詐騙,假網拍
111年,3月,直接與人接觸,其他
111年,3月,網路詐騙,猜猜我是誰
111年,3月,網路詐騙,假交友(徵婚詐財)
111年,3月,網路詐騙,假交友(徵婚詐財)
111年,3月,網路詐騙,虛擬遊戲詐騙
111年,3月,網路詐騙,假投資
111年,3月,網路詐騙,假網拍
111年,3月,網路詐騙,騙取金融帳戶(卡片)
111年,3月,網路詐騙,假投資
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,假投資
111年,4月,直接與人接觸,假推銷
111年,4月,網路詐騙,假交友(投資詐財)
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,色情應召詐財
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,騙取金融帳戶(卡片)
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,假交友(投資詐財)
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,假投資
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,假交友(投資詐財)
111年,4月,網路詐騙,假網拍
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,其他,假投資
111年,4月,接獲歹徒電話,猜猜我是誰
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,接獲電話語音,假投資
111年,4月,網路詐騙,色情應召詐財
111年,4月,網路詐騙,假投資
111年,4月,接獲歹徒電話,假冒機構(公務員)詐財
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,色情應召詐財
111年,4月,直接與人接觸,假推銷
111年,4月,網路詐騙,假投資
111年,4月,其他,其他
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,假網拍
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,接獲電話語音,解除分期付款
111年,4月,其他,假交友(徵婚詐財)
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,直接與人接觸,其他
111年,4月,網路詐騙,假廣告
111年,4月,網路詐騙,假投資
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,接獲歹徒電話,假投資
111年,4月,網路詐騙,騙取金融帳戶(卡片)
111年,4月,網路詐騙,信用卡遭盜刷
111年,4月,接獲電話語音,解除分期付款
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,假投資
111年,4月,接獲歹徒電話,色情應召詐財
111年,4月,直接與人接觸,假推銷
111年,4月,網路詐騙,假網拍
111年,4月,接獲歹徒電話,騙取金融帳戶(卡片)
111年,4月,接獲歹徒電話,假交友(徵婚詐財)
111年,4月,網路詐騙,假網拍
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,色情應召詐財
111年,4月,接獲歹徒電話,假冒機構(公務員)詐財
111年,4月,網路詐騙,假投資
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,假廣告
111年,4月,網路詐騙,六合彩
111年,4月,網路詐騙,假求職
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,假借銀行貸款詐財
111年,4月,網路詐騙,假借銀行貸款詐財
111年,4月,網路詐騙,虛擬遊戲詐騙
111年,4月,網路詐騙,假借銀行貸款詐財
111年,4月,網路詐騙,色情應召詐財
111年,4月,網路詐騙,假交友(投資詐財)
111年,4月,直接與人接觸,其他
111年,4月,網路詐騙,假投資
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,信用卡遭盜刷
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,接獲歹徒電話,猜猜我是誰
111年,4月,網路詐騙,假投資
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,騙取金融帳戶(卡片)
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,假交友(投資詐財)
111年,4月,網路詐騙,假交友(投資詐財)
111年,4月,網路詐騙,假網拍
111年,4月,接獲歹徒電話,猜猜我是誰
111年,4月,接獲歹徒電話,其他
111年,4月,網路詐騙,假交友(徵婚詐財)
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,接獲手機簡訊,假投資
111年,4月,直接與人接觸,假冒機構(公務員)詐財
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,假推銷
111年,4月,網路詐騙,釣魚簡訊(惡意連結)
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,信用卡遭盜刷
111年,4月,網路詐騙,騙取金融帳戶(卡片)
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,其他
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,假交友(投資詐財)
111年,4月,直接與人接觸,色情應召詐財
111年,4月,網路詐騙,假交友(投資詐財)
111年,4月,網路詐騙,假借銀行貸款詐財
111年,4月,直接與人接觸,騙取金融帳戶(卡片)
111年,4月,網路詐騙,假網拍
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,色情應召詐財
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,其他
111年,4月,接獲歹徒電話,猜猜我是誰
111年,4月,網路詐騙,假借銀行貸款詐財
111年,4月,網路詐騙,假求職
111年,4月,網路詐騙,假廣告
111年,4月,網路詐騙,假交友(徵婚詐財)
111年,4月,接獲歹徒電話,假投資
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,虛擬遊戲詐騙
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,假交友(徵婚詐財)
111年,4月,網路詐騙,假算命(看風水)
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,色情應召詐財
111年,4月,網路詐騙,假網拍
111年,4月,接獲歹徒電話,解除分期付款
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,假交友(投資詐財)
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,假投資
111年,4月,網路詐騙,色情應召詐財
111年,4月,網路詐騙,色情應召詐財
111年,4月,網路詐騙,騙取金融帳戶(卡片)
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,假網拍
111年,4月,網路詐騙,假交友(徵婚詐財)
111年,4月,網路詐騙,假交友(投資詐財)
111年,4月,網路詐騙,假交友(徵婚詐財)
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,虛擬遊戲詐騙
111年,5月,網路詐騙,假網拍
111年,5月,直接與人接觸,其他
111年,5月,網路詐騙,色情應召詐財
111年,5月,直接與人接觸,假投資
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,網路詐騙,假預付型消費詐財
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,騙取金融帳戶(卡片)
111年,5月,網路詐騙,盜用網路帳號
111年,5月,其他,假交友(徵婚詐財)
111年,5月,網路詐騙,假網拍
111年,5月,網路詐騙,色情應召詐財
111年,5月,網路詐騙,假交友(投資詐財)
111年,5月,網路詐騙,色情應召詐財
111年,5月,網路詐騙,假交友(投資詐財)
111年,5月,網路詐騙,假交友(徵婚詐財)
111年,5月,網路詐騙,假交友(徵婚詐財)
111年,5月,網路詐騙,假投資
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,接獲手機簡訊,釣魚簡訊(惡意連結)
111年,5月,網路詐騙,假交友(徵婚詐財)
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,騙取金融帳戶(卡片)
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假投資
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,接獲歹徒電話,騙取個人資料
111年,5月,直接與人接觸,其他
111年,5月,接獲歹徒電話,色情應召詐財
111年,5月,網路詐騙,假網拍
111年,5月,接獲歹徒電話,騙取金融帳戶(卡片)
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假投資
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假交友(投資詐財)
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假投資
111年,5月,直接與人接觸,假求職
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,網路詐騙,猜猜我是誰
111年,5月,網路詐騙,色情應召詐財
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假網拍
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,接獲手機簡訊,收購郵銀簿(電信門號)
111年,5月,網路詐騙,假投資
111年,5月,直接與人接觸,其他
111年,5月,網路詐騙,假網拍
111年,5月,網路詐騙,假投資
111年,5月,接獲手機簡訊,假投資
111年,5月,網路詐騙,假交友(投資詐財)
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假交友(徵婚詐財)
111年,5月,網路詐騙,假預付型消費詐財
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,直接與人接觸,其他
111年,5月,網路詐騙,假投資
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,網路詐騙,假交友(投資詐財)
111年,5月,網路詐騙,假求職
111年,5月,接獲電話語音,解除分期付款
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,其他
111年,5月,網路詐騙,假投資
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,色情應召詐財
111年,5月,網路詐騙,虛擬遊戲詐騙
111年,5月,直接與人接觸,其他
111年,5月,接獲歹徒電話,猜猜我是誰
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假交友(徵婚詐財)
111年,5月,網路詐騙,假交友(投資詐財)
111年,5月,網路詐騙,假網拍
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,網路詐騙,假網拍
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,網路詐騙,假投資
111年,5月,網路詐騙,假交友(徵婚詐財)
111年,5月,網路詐騙,假投資
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,網路詐騙,假交友(徵婚詐財)
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,其他,騙取金融帳戶(卡片)
111年,5月,網路詐騙,假交友(徵婚詐財)
111年,5月,網路詐騙,假投資
111年,5月,接獲歹徒電話,假冒機構(公務員)詐財
111年,5月,網路詐騙,假網拍
111年,5月,接獲歹徒電話,解除分期付款
111年,5月,網路詐騙,假投資
